User Photo,User Name,Rank,Time,text,sentiment
https://lh3.googleusercontent.com/a-/ALV-UjUuPXuPbXlh91mHlc2ScufNS2KpulA4g5X_yvqNMBeftKILgjEK=w36-h36-p-rp-mo-ba4-br100,Fiona McInnes,Local Guide · 93 reviews · 63 photos,4 months ago,"Had been taking in the sights all day needed food in a hurry before show, hit the spot devious burger",1
https://lh3.googleusercontent.com/a-/ALV-UjULd5-O3_kmtLVbiOlCcdCZnUIGiHqKavQl-Ma0RQzs4Ns96Dug=w36-h36-p-rp-mo-ba3-br100,Ventsislav Georgiev,Local Guide · 31 reviews · 23 photos,a year ago,"Everything was very salty. This is the second time we eat at Five Guys. The one in Greenwich Village was great, but this one was disappointing, mainly because the amount of salt in the food. It made it very hard to eat.",2
https://lh3.googleusercontent.com/a-/ALV-UjU-w6qy5hpw-gRfGWavFB0S0IAhn43PyPPNHXdGzNPdIvu51H4g=w36-h36-p-rp-mo-ba6-br100,Neha Luthra,"Local Guide · 271 reviews · 1,505 photos",a year ago,The manager completely flipped out on her employees in front of everyone. It was very uncomfortable and she is very rude. I would never come back here. I feel so bad they have to work for such an abusive boss,1
https://lh3.googleusercontent.com/a-/ALV-UjUiAiikHXTdR9zHWR65Y1JoPtnls6f2fLS_g1-X6d-7nPP92ktG=w36-h36-p-rp-mo-ba3-br100,Tanvi Jandhyala,Local Guide · 28 reviews · 10 photos,a year ago,"I am a vegetarian and I got a veggie lover sandwich, it was not worth the money as it was just plain vegetables on a piece of bread with no seasoning. The grilled cheese was even worse for the same price. And sadly no free peanuts.",1
https://lh3.googleusercontent.com/a-/ALV-UjViyouPA8oanHN66TEAegEGZ5vVc508rHb2p5mwLZDAwG1jdV9TSg=w36-h36-p-rp-mo-ba4-br100,Britt Nicole,Local Guide · 92 reviews · 48 photos,4 years ago,"Disappointing! Everyone hypes 5 guys. The fries were too salty and the beef was SO incredibly dry. Just a chewy, saucy, salty mess. Definitely not the worst burger I've ever had but not worth the hype or price. If you really want burgers from a chain restaurant, go get shake shack.",2
https://lh3.googleusercontent.com/a-/ALV-UjXtHKbocLsgz6akRzfHux91sZRFKQ7wkbn3h3XrBhluXUMInSU=w36-h36-p-rp-mo-br100,Alvaro Marin,3 reviews · 2 photos,a year ago,"There is a lot of smell of marihuana, which comes from outside. At the end I tried to get one cup in order to swith my fries and use a lid to cover them. When I asked about it the guy in charge told me that I needed to pay 4 dollar for that cup.",2
https://lh3.googleusercontent.com/a/ACg8ocLMa0694Y8px8HELOpWIpGBiZbygSuuezSrBodOmEtXcxVnSg=w36-h36-p-rp-mo-br100,henry eterovich,1 review,9 months ago,"This place need new staff , I believe they step on every burger that comes out . Horrible experience , for every group coming in the staff look at each other and say "" that's not true "" and the place wasn't even full...",1
https://lh3.googleusercontent.com/a/ACg8ocL-x9TMyz6BpKMgudfPKrMZEjXMPYz2YpquCRzJ29uoJy_NVA=w36-h36-p-rp-mo-br100,Raul M,2 reviews,5 months ago,The worst 5 guys i ever been. All dumb people working there,1
https://lh3.googleusercontent.com/a/ACg8ocIxiyJQFD-LX86WWxUMSKU_X61Z2nSZ5hIXu3rH9SAjqknH6g=w36-h36-p-rp-mo-br100,Paul Kandel,34 reviews,10 years ago,You go for the burgers not the atmosphere.  Big tasty burgers with tons of toppings.  Barrels of peanuts to munch on while waiting for orders.  Fries are big enough to share for multiple people.  a number of locations have new soda machine that can dispense any of 100 different sodas,2
https://lh3.googleusercontent.com/a-/ALV-UjV6FTB143krGuSroIGe2tbHYhGe4CmKZkmNzyZzDE3VQ4_-JcyB=w36-h36-p-rp-mo-ba3-br100,R R,Local Guide · 66 reviews,7 years ago,"The burgers are always cooked well done, as they don't allow cooking to your desired temperature. Fries were soggy and probably reheated twice. I'm always wondering how this chain manages to open so many locations with such below-par products.",2
https://lh3.googleusercontent.com/a/ACg8ocLY63EZ4UcPeJbwbyTsPOedrzMZhSExHXuFzCs36XvhiDRolw=w36-h36-p-rp-mo-br100,Michael Smith,198 reviews · 15 photos,a year ago,From the time I placed my order...BAD EXPERIENCE.  SIGN at register states EXACT PAYMENT OR DEBIT/CREDIT CARD. My order took 20 minutes to complete because the staff was playing around instead of working. The seating was being held as a hangout for tourists.  And when they did leave tables weren't sanitized.  A MESS AND COVID INVITE,1
https://lh3.googleusercontent.com/a-/ALV-UjXzdYoXZ-qoNmFIlVVfvRNu_WTgS_uxcua9eDBRFl3RDKw3WbsO=w36-h36-p-rp-mo-ba4-br100,Seba Serrano,Local Guide · 86 reviews · 64 photos,a year ago,"The food is amazing, the staff is really friendly, but the place had an awful smell like chlorine mixed with a dirty bathroom smell and mold. Had to take out because I couldn't have sat there and eaten.",2
https://lh3.googleusercontent.com/a-/ALV-UjUSBuhtyx6YvHYjILJUgM_lOcQn3hSfA4nJz6188Ljl0mhgJJ6Mvg=w36-h36-p-rp-mo-br100,Fabian Eisele,150 reviews · 273 photos,6 years ago,"The service was friendly, but the meat was not what was advertised. They have all those nice articles hanging around about how juicy their meat is, but at least mine was dry and the taste was mediocre. Nothing you wouldn't get at any fast food chain.",2
https://lh3.googleusercontent.com/a-/ALV-UjW3vq0oLpgXT2lxWdEarqVIfHHHourpfvcHC7CFg9FBmDIIYe8b=w36-h36-p-rp-mo-ba4-br100,Stan André,Local Guide · 197 reviews · 186 photos,6 years ago,"Place looked and felt so ghetto we didn't stay. Looking at the burgers being made, didn't look like we were missing out either. Went to Shake Shack instead and had a great experience there.",1
