User Photo,User Name,Rank,Time,text,sentiment
https://lh3.googleusercontent.com/a/ACg8ocKwtB5P14FbJIt7JCBQWxP209Inc5JNwV3RiREeXAhpb7N7Nl0=w36-h36-p-rp-mo-ba4-br100,Erika,Local Guide · 172 reviews · 202 photos,7 years ago,"Super friendly staff who are happy to assist with your orders, burgers are not bad (well cooked!l and the chips are great. Serving sizes are a good size.
Service is quite fast (note that I came at around 11.45am)",5
https://lh3.googleusercontent.com/a-/ALV-UjVwczjzePWpTjQVcYGD7cXdpYsHoq8qD2bPTEi6JvCPzP3zPWLO=w36-h36-p-rp-mo-ba2-br100,Makin Al Din Turjo,Local Guide · 21 reviews · 4 photos,a year ago,One of my favorite places to grab burgers and fries. Sometimes the seasoning or the portion of fries are off but that's ok. Still love the food.,4
https://lh3.googleusercontent.com/a-/ALV-UjVjLFJ8ueBVsmPYnFOBR2G852t_xG6YbDtJfEaDcKAllApKLoO1yA=w36-h36-p-rp-mo-ba4-br100,Luana Hastenteufel Vogel,Local Guide · 54 reviews · 280 photos,a year ago,Can't go wrong with their fries and burger. Staff firendly and really fast.,5
https://lh3.googleusercontent.com/a-/ALV-UjXhJGJuofKYdXf0Mfwq-0OyzvqGfivLxQZM4e9VkBxSfONC3q4=w36-h36-p-rp-mo-br100,Spyros Lefkaditis,33 reviews · 1 photo,2 months ago,"Simply the best burger chain there is, the famous fries are hard to beat!",5
https://lh3.googleusercontent.com/a/ACg8ocIQ7XL2JkmGHzi2GxT8OXbtr5430iFkTfiMsVzfQ_9mtGlQl4Qe=w36-h36-p-rp-mo-ba5-br100,Juan Madrid,Local Guide · 174 reviews · 309 photos,6 years ago,Excelent! Great! The best burguer I have tested.  Prices good. Startimg 9usd. Free topings. Juicy meat... great chese... recomended 100%,5
https://lh3.googleusercontent.com/a-/ALV-UjU1TTo6JYy91xR9fMp_xAjAdD0E9tBSDr-greYujaFdENn204c=w36-h36-p-rp-mo-br100,Jai Colombo,4 reviews · 3 photos,2 months ago,"Great customer service , Food hot & delicious, atmosphere of store was outgoing and happy.",5
https://lh3.googleusercontent.com/a-/ALV-UjUIN-st6T2Yt5u0LlxMllbQYDP-V-R5-sgVAaPyP-r81tm8PeX-=w36-h36-p-rp-mo-ba5-br100,Jan Klein Poelhuis,Local Guide · 308 reviews · 453 photos,5 years ago,Great (fast food burger) compared to the usual suspects as McDonald's and Burger King. Atmosphere is quite relaxed with some good places to eat your burger on bar style tables. Would come here again!,4
https://lh3.googleusercontent.com/a-/ALV-UjVKrjnoS_LSmHYhv21UCBBP9_zDKK-M9dL-IZsBHbWzDzvsu2xDOA=w36-h36-p-rp-mo-ba5-br100,Robert,Local Guide · 175 reviews · 255 photos,4 months ago,"Best customer service I've had in NYC, while cleaning , and throwing out my garbage, the five guys employee helped me and calmed down the customers that were rushing us.",5
https://lh3.googleusercontent.com/a/ACg8ocIbQHtPUA5V9LIUEEtsh4FZgF4KJPOlS37oRLQ8Ee58qvLOAg=w36-h36-p-rp-mo-ba3-br100,Fredrik Norberg,Local Guide · 27 reviews · 10 photos,5 years ago,"I thought my own expectations of this place would make me disappointed.... But I made the lovely discovery that it didn't. Great burger, amazing fries and superb staff. My only disappointment is that they are not avaliable in Sweden....yet",4
https://lh3.googleusercontent.com/a-/ALV-UjX0BXKtsWHv1QkBD5iHT20KDaDCD4IgJMwplcanBKNRl7M4k1ZI=w36-h36-p-rp-mo-ba3-br100,Men Tos,Local Guide · 31 reviews · 29 photos,3 years ago,"Nice place when your tired and need some jazz
Away from the street.",4
https://lh3.googleusercontent.com/a-/ALV-UjUqEGsK-TtDO3wwfADsl2sDQmfdz6-lGtRJE6thl5wxECY_DTOj7g=w36-h36-p-rp-mo-ba4-br100,Rafael Gomes,Local Guide · 146 reviews · 224 photos,a year ago,"The sandwiches are ready just before you finish paying (so it's reeeeeally a fast-food restaurant), and they're delicious. I didn't have a problem with finding a seat, but if you go during the weekend or lunch time, you can have a problem with that.",4
https://lh3.googleusercontent.com/a/ACg8ocLCM7cmhLH7F5FPjEQyi2K6z6lFWEL30uRZat2knythygyF0QqC=w36-h36-p-rp-mo-ba2-br100,Thomas Reck,Local Guide · 15 reviews · 11 photos,5 years ago,"very delicious burger and fries.
one of the best burgers I've ever tasted.
Its worth the price!",5
https://lh3.googleusercontent.com/a-/ALV-UjUKr_f41IxoYY14Un2zG9UAYCPy98hrJQ09wIRlXXwqWXlOErvo=w36-h36-p-rp-mo-ba5-br100,Dean Pattrick,"Local Guide · 279 reviews · 1,002 photos",a year ago,Always a great burger at 5-guys,5
https://lh3.googleusercontent.com/a-/ALV-UjVw5wdQ8HABxvExD7SgT7H5dlssOVW-t-qf74BQbEQIIaL1IGaD=w36-h36-p-rp-mo-br100,Mark G,47 reviews,a year ago,"Cheeseburger, little fries and small drink $21.09. Burger was delicious. Fries had way too much salt on them. Someone has a heavy hand. All in all pretty good.",4
https://lh3.googleusercontent.com/a-/ALV-UjVHV0z5agLl83UxS3XKkvuYC30KIMlIIXGWLNZLYmyq64qb4kY44A=w36-h36-p-rp-mo-ba4-br100,Michaela Afriat,Local Guide · 64 reviews · 250 photos,2 years ago,Very tasty and clean place with excellent service.,5
https://lh3.googleusercontent.com/a-/ALV-UjWh7jFrLJtbJ3O3AqxZ_uAeTJpefsAFXbyxM_E6z2IpxheUV9jk=w36-h36-p-rp-mo-ba4-br100,B K,Local Guide · 161 reviews · 41 photos,5 years ago,Super friendly staff. Great burger goes without saying. Awsome Coke Zero dispenser with freaking lemon zero,5
