NBa7we src,d4r55,RfnDt,eaLgGf,hCCjke,rsqaWe,wiI7pd,w8nwRe,dSlJg,znYl0,dSlJg 2,znYl0 2
https://lh3.googleusercontent.com/a/ACg8ocKwtB5P14FbJIt7JCBQWxP209Inc5JNwV3RiREeXAhpb7N7Nl0=w36-h36-p-rp-mo-ba4-br100,Erika,Local Guide · 172 reviews · 202 photos,,,7 years ago,"Super friendly staff who are happy to assist with your orders, burgers are not bad (well cooked!l and the chips are great. Serving sizes are a good size.
Service is quite fast (note that I came at around 11.45am)",,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjUy4bKIrS7iNpcFldrx7M2sWeyQQoa8ttNbikdVDd64CH7bybAl=w36-h36-p-rp-mo-ba4-br100,angel rosario,Local Guide · 31 reviews · 150 photos,,,6 years ago,Location doesn’t have to many seats but the burgers come out pretty efficiently. Sometimes this location get pretty busy but they always manage. Burger was glorious,,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjWMJpCobVQDFiu08_OHqKhfO1cSBtreO59V72pHv7QLyohWhGA=w36-h36-p-rp-mo-ba5-br100,William Perez,"Local Guide · 136 reviews · 1,087 photos",,,2 years ago,Food is always good. The problem with this place is I didn't see a any milkshakes on the menu and I asked for hot sauce on my burger and didn't get any.,More,,,,Share
https://lh3.googleusercontent.com/a-/ALV-UjVwczjzePWpTjQVcYGD7cXdpYsHoq8qD2bPTEi6JvCPzP3zPWLO=w36-h36-p-rp-mo-ba2-br100,Makin Al Din Turjo,Local Guide · 21 reviews · 4 photos,,,a year ago,One of my favorite places to grab burgers and fries. Sometimes the seasoning or the portion of fries are off but that's ok. Still love the food.,More,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjVzi5gLx0P3ZrDvXoKuK0sVT9j7brnNik3txMepkOsqc8knLT_z=w36-h36-p-rp-mo-ba5-br100,M. B.,Local Guide · 327 reviews · 392 photos,,,7 years ago,"very tasty and nice fries.
i find it a bit expensive though for the size and quality of food. …",More,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjWboRhDqpCl0P7Ycejil4WqFBswKvarP_sS9THzEG0I0sSO755GQQ=w36-h36-p-rp-mo-ba6-br100,Hal Doueck,"Local Guide · 310 reviews · 1,897 photos",,,5 years ago,"Always a reliable experience and worth walking to, but good luck if you dislike oily hands! The burgers are always consistently good, and come out super quickly. They've got a great order numbering system that ensures they're able to …",More,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjU1ZpSF665eBmrzAmJVwXNGaB_xMDc6KFhCKEvevPF97LQoo4Y=w36-h36-p-rp-mo-ba4-br100,Miles,Local Guide · 120 reviews · 549 photos,,,6 years ago,起司漢堡非常好吃份量很多.薯條也不錯.還有免費的花生可以吃.很棒棒的地方,,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjVjLFJ8ueBVsmPYnFOBR2G852t_xG6YbDtJfEaDcKAllApKLoO1yA=w36-h36-p-rp-mo-ba4-br100,Luana Hastenteufel Vogel,Local Guide · 54 reviews · 280 photos,,,a year ago,Can't go wrong with their fries and burger. Staff firendly and really fast.,More,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjXhJGJuofKYdXf0Mfwq-0OyzvqGfivLxQZM4e9VkBxSfONC3q4=w36-h36-p-rp-mo-br100,Spyros Lefkaditis,33 reviews · 1 photo,,,2 months ago,"Simply the best burger chain there is, the famous fries are hard to beat!",More,,Like,,Share
https://lh3.googleusercontent.com/a-/ALV-UjUz54g6liiXGhvMJ9TEEf_MmKtgiLJ-ZcLKlW5MrEHowGkggA1w=w36-h36-p-rp-mo-ba4-br100,Luis Fernando Peralta,Local Guide · 77 reviews · 76 photos,,,5 months ago,The fried potatoes is amazing but the hamburger is very grassy other than that every is wonderful.,More,,Like,,Share
